label,tp,type,hypermut
CAP257_4300_240WPI_ENV_C2C3_NGS_041_0_013_1,240WPI,NGS,N
CAP257_4200_107WPI_ENV_C2C3_NGS_172_0_002_1,107WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_061_0_003_1,054WPI,NGS,N
Hypermut_PIDCAP257_PHB8_3half_W7_30_post_ART_DNA_BAR4_Seq1_Phase0_NumReads497_c2v3_QVOA,DNA,DNA,Y
CAP257_4300_240WPI_ENV_C2C3_NGS_029_0_013_1,240WPI,NGS,N
CAP257_4260_191WPI_ENV_C2C3_NGS_067_0_004_3,191WPI,NGS,N
Hypermut_PIDCAP257_PHA2_3half_W7_23_post_ART_DNA_BAR1_Seq1_Phase0_NumReads499_c2v3_QVOA,DNA,DNA,Y
CAP257_3100_030WPI_ENV_C2C3_NGS_022_0_004_1,030WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_027_0_002_1,007WPI,NGS,N
CAP257_4240_161WPI_ENV_C2C3_NGS_017_0_008_1,161WPI,NGS,N
CAP257_4200_107WPI_ENV_C2C3_NGS_020_0_005_1,107WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_062_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_073_0_004_1,030WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_095_0_003_1,054WPI,NGS,N
CAP257_4200_107WPI_ENV_C2C3_NGS_109_0_002_1,107WPI,NGS,N
CAP257_4240_161WPI_ENV_C2C3_NGS_043_0_008_1,161WPI,NGS,N
CAP257_4260_191WPI_ENV_C2C3_NGS_040_0_004_1,191WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_053_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_019_0_002_1,007WPI,NGS,N
Hypermut_PIDCAP257_D12_9_30_B_PH_W3prime_post_ART_DNA_BAR92_Seq1_Phase0_NumReads496_c2v3_QVOA,DNA,DNA,Y
CAP257_2000_007WPI_ENV_C2C3_NGS_008_0_003_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_026_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_033_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_070_0_002_11,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_104_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_001_0_29_5,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_002_0_126_4,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_005_0_005_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_006_0_003_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_007_0_003_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_009_0_003_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_011_0_003_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_012_0_003_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_014_0_003_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_015_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_016_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_017_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_018_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_020_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_021_0_002_2,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_022_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_023_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_024_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_025_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_028_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_029_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_030_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_032_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_034_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_035_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_036_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_037_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_038_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_040_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_041_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_043_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_044_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_045_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_046_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_047_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_048_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_049_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_051_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_052_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_055_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_056_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_057_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_058_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_059_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_060_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_061_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_062_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_064_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_065_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_066_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_067_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_068_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_069_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_071_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_072_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_073_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_074_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_076_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_078_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_079_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_082_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_083_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_084_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_086_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_087_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_088_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_090_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_091_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_092_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_094_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_095_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_096_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_097_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_098_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_099_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_100_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_101_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_102_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_103_0_002_1,007WPI,NGS,N
CAP257_2000_007WPI_ENV_C2C3_NGS_105_0_002_1,007WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_018_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_040_0_004_3,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_056_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_082_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_001_0_122_3,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_002_0_053_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_003_0_05_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_004_0_027_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_006_0_015_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_007_0_011_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_008_0_011_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_009_0_008_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_010_0_008_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_011_0_008_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_012_0_008_2,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_013_0_008_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_015_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_016_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_017_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_019_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_020_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_021_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_023_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_024_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_025_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_026_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_027_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_028_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_029_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_030_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_031_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_032_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_033_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_034_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_035_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_036_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_037_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_038_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_039_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_041_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_042_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_043_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_044_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_045_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_046_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_047_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_048_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_049_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_050_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_051_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_052_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_053_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_054_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_055_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_057_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_058_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_059_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_063_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_064_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_065_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_066_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_067_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_069_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_070_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_071_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_072_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_074_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_075_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_076_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_077_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_078_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_079_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_080_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_081_0_004_1,030WPI,NGS,N
CAP257_3100_030WPI_ENV_C2C3_NGS_083_0_004_1,030WPI,NGS,N
